"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 16 21:44:46 MSK 2026","Mon Mar 16 21:44:46 MSK 2026","4","","com.todo.db.TaskDaoMockTest","","com.todo.db.TaskDaoMockTest","insertTaskReturnsGeneratedId","Вставка задачи возвращает сгенерированный ID","При вставке новой задачи DAO должен вернуть положительный идентификатор"
"passed","Mon Mar 16 21:44:43 MSK 2026","Mon Mar 16 21:44:43 MSK 2026","14","","com.todo.api.TaskApiMockServerTest","","com.todo.api.TaskApiMockServerTest","deleteTaskReturnsFalseOn404","DELETE /tasks/{id} — задача не найдена (404)","deleteTask должен вернуть false при ответе 404"
"passed","Mon Mar 16 21:44:46 MSK 2026","Mon Mar 16 21:44:46 MSK 2026","3","","com.todo.db.TaskDaoMockTest","","com.todo.db.TaskDaoMockTest","deleteTaskReturnsAffectedRows","Удаление задачи по ID — возвращает 1 (строка удалена)","delete должен вернуть 1 при успешном удалении задачи"
"passed","Mon Mar 16 21:44:43 MSK 2026","Mon Mar 16 21:44:43 MSK 2026","41","","com.todo.api.TaskApiMockServerTest","","com.todo.api.TaskApiMockServerTest","createTaskSendsPostAndReturnsCreatedTask","POST /tasks — создание новой задачи","createTask должен отправить POST и вернуть созданную задачу с ID"
"passed","Mon Mar 16 21:44:46 MSK 2026","Mon Mar 16 21:44:46 MSK 2026","6","","com.todo.db.TaskDaoMockTest","","com.todo.db.TaskDaoMockTest","taskMarkedAsDoneAfterUpdate","Задача помечается как выполненная после обновления","После update с isDone=true задача должна возвращаться как выполненная"
"passed","Mon Mar 16 21:44:43 MSK 2026","Mon Mar 16 21:44:43 MSK 2026","18","","com.todo.api.TaskApiMockServerTest","","com.todo.api.TaskApiMockServerTest","getTasksReturnsEmptyList","GET /tasks — пустой список","При пустом ответе сервер возвращает пустой список"
"passed","Mon Mar 16 21:44:46 MSK 2026","Mon Mar 16 21:44:46 MSK 2026","4","","com.todo.db.TaskDaoMockTest","","com.todo.db.TaskDaoMockTest","getAllReturnsTasks","Получение всех задач — список не пустой","getAll должен вернуть все задачи, добавленные в базу"
"passed","Mon Mar 16 21:44:46 MSK 2026","Mon Mar 16 21:44:46 MSK 2026","3","","com.todo.db.TaskDaoMockTest","","com.todo.db.TaskDaoMockTest","getByIdReturnsTask","Получение задачи по ID — задача найдена","getById должен вернуть задачу, когда она существует в базе"
"passed","Mon Mar 16 21:44:43 MSK 2026","Mon Mar 16 21:44:43 MSK 2026","17","","com.todo.api.TaskApiMockServerTest","","com.todo.api.TaskApiMockServerTest","getTaskByIdReturnsNullOn404","GET /tasks/{id} — задача не найдена (404)","getTask должен вернуть null при ответе 404"
"passed","Mon Mar 16 21:44:43 MSK 2026","Mon Mar 16 21:44:46 MSK 2026","2928","","com.todo.db.TaskDaoMockTest","","com.todo.db.TaskDaoMockTest","updateNonExistentTaskReturnsZero","Обновление несуществующей задачи — возвращает 0","update должен вернуть 0, если задача с таким ID не найдена"
